,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_GOODS_PRICE,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION
419345,1879965,364504,Cash loans,18852.435,90000.0,92970.0,90000.0,Wedding / gift / holiday,Approved,-769,XNA,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
419361,1290698,444373,Cash loans,9556.74,45000.0,46485.0,45000.0,Repairs,Approved,-762,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
419384,1676703,277246,Cash loans,13680.54,67500.0,69727.5,67500.0,Purchase of electronic equipment,Approved,-2107,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,6.0,high,Cash Street: high
419416,1442919,418578,Cash loans,19076.175,225000.0,281983.5,225000.0,Buying a used car,Approved,-688,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
419518,1604909,241816,Cash loans,28595.88,225000.0,239850.0,225000.0,Urgent needs,Approved,-787,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
419617,2113732,317398,Cash loans,23090.04,225000.0,320962.5,225000.0,Wedding / gift / holiday,Approved,-529,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,30.0,high,Cash Street: high
419698,1573972,445429,Cash loans,27326.79,216000.0,230256.0,216000.0,Repairs,Approved,-407,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
419810,1405300,222276,Cash loans,9804.285,67500.0,82611.0,67500.0,Urgent needs,Approved,-528,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,12.0,high,Cash Street: high
419811,1839457,183232,Cash loans,7972.47,67500.0,86922.0,67500.0,Medicine,Approved,-827,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,18.0,high,Cash Street: high
419854,2191217,146979,Cash loans,28313.955,585000.0,642915.0,585000.0,Repairs,Approved,-544,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,30.0,low_normal,Cash Street: low
420174,2288122,367755,Cash loans,10629.72,90000.0,115893.0,90000.0,Everyday expenses,Approved,-451,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
420205,2374423,437011,Cash loans,54849.6,1440000.0,1440000.0,1440000.0,Repairs,Approved,-371,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
420258,2836264,285730,Cash loans,30426.075,540000.0,625536.0,540000.0,Repairs,Approved,-670,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,middle,Cash Street: middle
420333,1738638,372903,Cash loans,12317.04,112500.0,143505.0,112500.0,Repairs,Approved,-1817,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
420556,2363302,400625,Cash loans,43360.65,207000.0,213831.0,207000.0,Urgent needs,Approved,-517,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
420601,2563092,404244,Cash loans,25580.97,225000.0,239850.0,225000.0,Repairs,Approved,-182,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,20,Connectivity,12.0,middle,Cash Street: middle
420624,2816749,448517,Cash loans,16099.065,180000.0,203760.0,180000.0,Urgent needs,Approved,-575,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Country-wide,42,Connectivity,24.0,high,Cash Street: high
420669,1474765,295038,Cash loans,29536.65,765000.0,765000.0,765000.0,Wedding / gift / holiday,Approved,-391,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
420701,1312527,319312,Cash loans,32681.25,225000.0,275373.0,225000.0,Repairs,Approved,-413,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
420707,2426469,157106,Cash loans,26627.22,405000.0,461133.0,405000.0,Everyday expenses,Approved,-837,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,high,Cash X-Sell: high
420796,1260940,237373,Cash loans,19609.065,135000.0,165226.5,135000.0,Urgent needs,Approved,-847,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
420945,1678839,247750,Cash loans,17077.815,135000.0,143910.0,135000.0,Medicine,Approved,-1416,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
421042,2643368,128157,Cash loans,26653.275,247500.0,247500.0,247500.0,Buying a used car,Approved,-2092,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,middle,Cash Street: middle
421071,1160746,274787,Cash loans,24639.21,337500.0,368685.0,337500.0,Repairs,Approved,-558,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
421118,1687044,381877,Cash loans,25932.915,450000.0,533160.0,450000.0,Urgent needs,Approved,-448,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,middle,Cash Street: middle
421181,1532438,217086,Cash loans,26273.205,180000.0,220297.5,180000.0,Repairs,Approved,-2018,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
421200,1856207,270670,Cash loans,31164.57,450000.0,585360.0,450000.0,Repairs,Approved,-720,XNA,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,30.0,middle,Cash Street: middle
421451,1044337,102909,Cash loans,6633.405,90000.0,101880.0,90000.0,Furniture,Approved,-199,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,24.0,middle,Cash Street: middle
421574,1551090,186040,Cash loans,14780.43,135000.0,172206.0,135000.0,Repairs,Approved,-2168,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
421675,1159231,128776,Cash loans,25450.47,225000.0,239850.0,225000.0,Repairs,Approved,-254,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,middle,Cash Street: middle
421679,2642690,403069,Cash loans,20123.865,225000.0,254700.0,225000.0,Repairs,Approved,-588,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
421773,1509876,195927,Cash loans,17292.465,135000.0,162967.5,135000.0,Repairs,Approved,-262,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,middle,Cash Street: middle
421823,1051603,411408,Cash loans,14588.055,180000.0,215640.0,180000.0,Repairs,Approved,-851,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
421829,1417218,242986,Cash loans,7476.84,63000.0,63000.0,63000.0,Medicine,Approved,-379,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,12.0,high,Cash Street: high
421893,1660079,433167,Cash loans,18852.435,90000.0,92970.0,90000.0,Purchase of electronic equipment,Approved,-606,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,40,Connectivity,6.0,high,Cash Street: high
422135,2773729,356472,Cash loans,27928.17,495000.0,534204.0,495000.0,Repairs,Approved,-323,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,24.0,low_normal,Cash Street: low
422248,2388932,306836,Cash loans,5693.085,45000.0,47970.0,45000.0,Urgent needs,Approved,-340,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,AP+ (Cash loan),10,XNA,12.0,high,Cash Street: high
422290,2335338,138045,Cash loans,25512.165,675000.0,790830.0,675000.0,Building a house or an annex,Approved,-692,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low
422349,2796984,289176,Cash loans,24061.77,306000.0,355680.0,306000.0,Repairs,Approved,-426,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
422409,1033303,419663,Cash loans,59254.875,450000.0,535644.0,450000.0,Urgent needs,Approved,-848,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash X-Sell: high
422688,2262334,356351,Cash loans,11420.82,225000.0,269550.0,225000.0,Repairs,Approved,-78,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
422784,2357191,196609,Cash loans,52788.78,1125000.0,1255680.0,1125000.0,Buying a used car,Approved,-324,XNA,XAP,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,48.0,middle,Cash Street: middle
422795,1732807,233002,Cash loans,10028.385,45000.0,52006.5,45000.0,Urgent needs,Approved,-246,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,middle,Cash Street: middle
422826,2497278,375665,Cash loans,27704.97,675000.0,767664.0,675000.0,Repairs,Approved,-728,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low
422883,2813954,197872,Cash loans,5424.93,45000.0,47970.0,45000.0,Repairs,Approved,-2297,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
422919,2663401,281867,Cash loans,58864.005,1350000.0,1635120.0,1350000.0,Repairs,Approved,-30,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low
422928,1876827,375080,Cash loans,16469.775,112500.0,137686.5,112500.0,Repairs,Approved,-2003,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,12.0,high,Cash Street: high
422932,2729448,230513,Cash loans,25996.365,337500.0,384277.5,337500.0,Repairs,Approved,-486,XNA,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),3,XNA,36.0,high,Cash Street: high
423038,1723181,284404,Cash loans,5220.585,45000.0,47970.0,45000.0,Everyday expenses,Approved,-372,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,middle,Cash Street: middle
423095,1531377,112225,Cash loans,18823.455,180000.0,191880.0,180000.0,Urgent needs,Approved,-969,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,low_normal,Cash Street: low
423152,2843492,282026,Cash loans,21919.5,225000.0,225000.0,225000.0,Repairs,Approved,-698,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,low_normal,Cash Street: low
423153,2492891,232555,Cash loans,11013.84,270000.0,412560.0,270000.0,Repairs,Approved,-7,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_action,Cash Street: low
423200,1865755,258220,Cash loans,48206.61,675000.0,721332.0,675000.0,Building a house or an annex,Approved,-774,XNA,XAP,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,24.0,middle,Cash Street: middle
423399,2243711,288012,Cash loans,12074.31,135000.0,152820.0,135000.0,Medicine,Approved,-803,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,31,Connectivity,24.0,high,Cash Street: high
423499,2794851,409592,Cash loans,26368.245,337500.0,445936.5,337500.0,Urgent needs,Approved,-558,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,30.0,middle,Cash Street: middle
423643,1104972,330254,Cash loans,18235.08,225000.0,269550.0,225000.0,Repairs,Approved,-382,XNA,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,36.0,high,Cash Street: high
423736,1386017,388056,Cash loans,10618.875,45000.0,52366.5,45000.0,Urgent needs,Approved,-818,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
423838,1928629,247903,Cash loans,11386.17,90000.0,95940.0,90000.0,Repairs,Approved,-581,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,20,Connectivity,12.0,high,Cash Street: high
423962,1747295,339261,Cash loans,33249.735,900000.0,1030680.0,900000.0,Repairs,Approved,-487,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low
424073,2395800,359685,Cash loans,8137.395,67500.0,71955.0,67500.0,Repairs,Approved,-2222,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
424081,1008028,379999,Cash loans,16978.905,180000.0,197820.0,180000.0,Repairs,Approved,-2180,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
424267,1184335,435243,Cash loans,10601.55,135000.0,135000.0,135000.0,Everyday expenses,Approved,-218,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,26,Connectivity,18.0,middle,Cash Street: middle
424321,2659484,440036,Cash loans,28502.82,225000.0,271300.5,225000.0,Building a house or an annex,Approved,-879,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle
424357,2150170,379371,Cash loans,11240.865,135000.0,170640.0,135000.0,Repairs,Approved,-328,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
424426,1080099,219221,Cash loans,11386.17,90000.0,95940.0,90000.0,Repairs,Approved,-639,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,30,Connectivity,12.0,high,Cash Street: high
424504,1464329,113397,Cash loans,19737.0,675000.0,675000.0,675000.0,Buying a used car,Approved,-1748,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low
424565,2095456,232863,Cash loans,24769.53,315000.0,366142.5,315000.0,Furniture,Approved,-311,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,25,Connectivity,36.0,high,Cash Street: high
424625,1515611,299150,Cash loans,11516.67,90000.0,95940.0,90000.0,Education,Approved,-678,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,32,Connectivity,12.0,high,Cash Street: high
424761,1271251,105525,Cash loans,16690.815,292500.0,393930.0,292500.0,Buying a used car,Approved,-666,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
424977,1494008,363765,Cash loans,8539.605,67500.0,71955.0,67500.0,Everyday expenses,Approved,-687,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,25,Connectivity,12.0,high,Cash Street: high
425057,1101507,358417,Cash loans,13286.925,112500.0,144864.0,112500.0,Urgent needs,Approved,-281,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),60,XNA,18.0,high,Cash Street: high
425211,2720082,299509,Cash loans,29674.395,450000.0,556951.5,450000.0,Repairs,Approved,-726,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,24.0,low_normal,Cash Street: low
425260,1874902,354887,Cash loans,9879.525,157500.0,188685.0,157500.0,Medicine,Approved,-200,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
425301,2269474,195457,Cash loans,20351.25,238500.0,276277.5,238500.0,Journey,Approved,-148,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,middle,Cash Street: middle
425336,2778475,327887,Cash loans,16075.08,135000.0,173839.5,135000.0,Repairs,Approved,-670,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
425345,2398062,265435,Cash loans,53198.415,675000.0,709749.0,675000.0,Repairs,Approved,-608,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,middle,Cash Street: middle
425369,2822084,156285,Cash loans,6536.34,45000.0,55075.5,45000.0,Everyday expenses,Approved,-599,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
425460,1953669,373228,Cash loans,24639.21,337500.0,368685.0,337500.0,Building a house or an annex,Approved,-595,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
425494,2056613,251605,Cash loans,8357.265,81000.0,121608.0,81000.0,Repairs,Approved,-600,XNA,XAP,Repeater,XNA,Cash,walk-in,Country-wide,50,Connectivity,36.0,high,Cash Street: high
425704,1569442,310523,Cash loans,56907.675,675000.0,709749.0,675000.0,Urgent needs,Approved,-788,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,middle,Cash Street: middle
425784,1726435,334158,Cash loans,47275.875,675000.0,799524.0,675000.0,Buying a home,Approved,-667,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,30.0,middle,Cash Street: middle
425950,1667519,245912,Cash loans,20711.025,265500.0,287055.0,265500.0,Urgent needs,Approved,-702,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle
426055,1524022,147322,Cash loans,26665.875,337500.0,337500.0,337500.0,Building a house or an annex,Approved,-858,Cash through the bank,XAP,New,XNA,Cash,walk-in,Stone,886,Consumer electronics,24.0,high,Cash Street: high
426182,1767153,213979,Cash loans,21747.825,675000.0,790830.0,675000.0,Repairs,Approved,-162,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low
426400,1006308,204243,Cash loans,9125.1,45000.0,45000.0,45000.0,Urgent needs,Approved,-653,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Country-wide,35,Connectivity,6.0,high,Cash Street: high
426625,1434177,132422,Cash loans,21309.75,315000.0,315000.0,315000.0,Repairs,Approved,-695,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,36.0,high,Cash Street: high
426671,2582251,228206,Cash loans,40943.565,1345500.0,1345500.0,1345500.0,Repairs,Approved,-618,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_normal,Cash Street: low
426722,1186518,266595,Cash loans,52919.28,1125000.0,1255680.0,1125000.0,Repairs,Approved,-603,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,middle,Cash Street: middle
426733,1305996,173905,Cash loans,64485.0,2250000.0,2250000.0,2250000.0,Repairs,Approved,-756,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_normal,Cash Street: low
426788,1618063,165373,Cash loans,41905.035,337500.0,353092.5,337500.0,Repairs,Approved,-450,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,12.0,high,Cash Street: high
426792,2628492,354477,Cash loans,67260.825,1710000.0,1872517.5,1710000.0,Repairs,Approved,-757,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low
426834,1652192,234319,Cash loans,13570.425,225000.0,254700.0,225000.0,Furniture,Approved,-476,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,24.0,low_normal,Cash Street: low
426851,1768747,254294,Cash loans,38028.06,337500.0,353092.5,337500.0,Journey,Approved,-626,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,12.0,middle,Cash Street: middle
426879,1285538,422933,Cash loans,16625.7,652500.0,652500.0,652500.0,Repairs,Approved,-116,Cash through the bank,XAP,New,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_action,Cash Street: low
427112,2173691,132181,Cash loans,18362.88,225000.0,269550.0,225000.0,Repairs,Approved,-1457,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,36.0,high,Cash Street: high
427164,1311885,409860,Cash loans,13855.77,94500.0,115659.0,94500.0,Medicine,Approved,-1771,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,0,XNA,12.0,high,Cash Street: high
427290,1874459,288827,Cash loans,27796.095,450000.0,512370.0,450000.0,Urgent needs,Approved,-759,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),3,XNA,36.0,middle,Cash Street: middle
427295,2448052,380062,Cash loans,9125.1,45000.0,45000.0,45000.0,Education,Approved,-656,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,6.0,high,Cash Street: high
427470,1850047,102977,Cash loans,38332.575,450000.0,573583.5,450000.0,Repairs,Approved,-495,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
427555,2094654,246110,Cash loans,24639.21,337500.0,368685.0,337500.0,Repairs,Approved,-562,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
427758,1718740,207996,Cash loans,20254.365,225000.0,254700.0,225000.0,Repairs,Approved,-602,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
427796,2759578,124105,Cash loans,20401.605,337500.0,419440.5,337500.0,Repairs,Approved,-364,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,middle,Cash Street: middle
427846,1937759,400329,Cash loans,11401.245,112500.0,142195.5,112500.0,Payments on other loans,Approved,-882,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle
427988,1263880,215924,Cash loans,29065.77,540000.0,604152.0,540000.0,Buying a home,Approved,-691,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
428193,1546705,248848,Cash loans,5693.085,45000.0,47970.0,45000.0,Medicine,Approved,-558,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,44,Connectivity,12.0,high,Cash Street: high
428298,2393263,238990,Cash loans,31544.37,675000.0,744498.0,675000.0,Repairs,Approved,-529,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
428300,2116989,294185,Cash loans,23123.88,675000.0,790830.0,675000.0,Repairs,Approved,-656,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low
428302,2211735,230199,Cash loans,15406.515,270000.0,363618.0,270000.0,Repairs,Approved,-640,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
428435,2317537,263245,Cash loans,10760.22,90000.0,115893.0,90000.0,Urgent needs,Approved,-502,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,18.0,high,Cash Street: high
428488,1584497,261416,Cash loans,12421.215,225000.0,314100.0,225000.0,Repairs,Approved,-339,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
428490,2327360,450511,Cash loans,23565.555,112500.0,116212.5,112500.0,Wedding / gift / holiday,Approved,-581,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
428583,1158418,267715,Cash loans,41692.5,1125000.0,1125000.0,1125000.0,Buying a used car,Approved,-914,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Regional / Local,60,Consumer electronics,36.0,low_action,Cash Street: low
428649,1919362,236469,Cash loans,24113.25,225000.0,225000.0,225000.0,Urgent needs,Approved,-546,XNA,XAP,Repeater,XNA,Cash,walk-in,Country-wide,89,Connectivity,12.0,middle,Cash Street: middle
428793,1062129,217226,Cash loans,59355.0,2250000.0,2250000.0,2250000.0,Buying a new car,Approved,-738,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,AP+ (Cash loan),3,XNA,60.0,low_action,Cash Street: low
428873,1683048,100080,Cash loans,8669.385,67500.0,71955.0,67500.0,Education,Approved,-1713,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
428999,1411088,236121,Cash loans,44617.5,1125000.0,1125000.0,1125000.0,Buying a used car,Approved,-1445,XNA,XAP,New,XNA,Cash,walk-in,Credit and cash offices,0,XNA,36.0,low_normal,Cash Street: low
429062,2049175,406739,Cash loans,33463.665,765000.0,843763.5,765000.0,Repairs,Approved,-651,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
429113,1607351,251539,Cash loans,37704.915,180000.0,185940.0,180000.0,Repairs,Approved,-535,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
429179,2509450,423777,Cash loans,20135.61,472500.0,528633.0,472500.0,Repairs,Approved,-233,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,36.0,low_normal,Cash Street: low
429193,2746681,211750,Cash loans,19076.175,225000.0,281983.5,225000.0,Repairs,Approved,-420,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
429218,1055361,414428,Cash loans,24092.775,225000.0,304933.5,225000.0,Building a house or an annex,Approved,-666,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
429374,1156249,420781,Cash loans,13201.605,90000.0,110146.5,90000.0,Repairs,Approved,-1927,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
429414,2793212,181341,Cash loans,28595.88,225000.0,239850.0,225000.0,Repairs,Approved,-422,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
429416,2573909,163421,Cash loans,19739.565,135000.0,165226.5,135000.0,Journey,Approved,-549,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
429542,2790719,138130,Cash loans,26295.39,360000.0,389938.5,360000.0,Buying a new car,Approved,-1480,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,low_normal,Cash Street: low
